; Generated by g3DTZ v2.1 - by guard3
;	A	B	C	D	E	F	G	H	I	J	K
ndc_impoundSignC,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_impoundStrike,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
IZ_fbsDrs_blnk,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_dts_csdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_shopbag,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
rampageCompleted,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
mar_a2_stereo,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	3,	2
mar_a2tv,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	9,	10
gd_beertray,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_cigar,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_cigarbox,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_rubbish3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_rubbish2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_rubbish1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_snackTray,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
dr_valve,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_barstool,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_bed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_bigbed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_chair,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	0,	0
ebprop_clothesrail,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_comfychair,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_copier,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_crate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_drugtableA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_drugtableB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_floorlamp,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_gblaster,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_officedeskA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	5
ebprop_plantpot,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_sack,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_speaker,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_tableround,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_tablesquare,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ebprop_tablewide,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
eb_forsale,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_cons_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
jm_bks_pedgte,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_bikerampNarrow,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ebprop_delicounter,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
ebprop_freezerfloor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
ebprop_freezer,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
eb_prot_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
ndc_moneypile,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_nodamagedesk,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_debrisa,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ndc_debrisb,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ndc_debrisc,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
pm_piergate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_gardoorwslut,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_brks_gate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
sjl_learjet,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
sjl_learjet_near,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
isd1_bike01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd1_bike02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd1_bike03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd1_car01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd1_car02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd1_car03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_skydoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
Marty_cut_door,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
gd_hotelsofa,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
gd_hotelsofabit,	40.0,	40.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ndc_philstick,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_bike01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_bike02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_bike03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_car02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_car01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
isd2_car03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
unlockableIcon,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ebprop_cashreg,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
gd_phoneHandle,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
me_mainlightrig,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
stagelite_light1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
stagelite_light2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
stagelite_light3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
stagelite_light4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
stagelite_light5,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_bks_barrier,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ps_philheadmic,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_spraycans,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ebprop_filecab,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
ndc_radioPhone,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_drug_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_drug_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_loan_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_pros_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_prot_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_rob_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
eb_smug_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
* ;end of file
