; 
;	A	B	C	D	E	F	G	H	I	J	K
INVISIBLE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
BAD_CAR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GOOD_CAR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ED_BLOCKDOCKS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ED_BLOCKGOLF,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ED_BLOCKPRAWN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_HELIMAGNET,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NDC_IMPOUNDSIGNA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_IMPOUNDSIGNB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_IMPOUNDSIGND,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_IMPOUNDSIGNC,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_IMPOUNDSTRIKE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
IZ_FBSDRS_BLNK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_DTS_CSDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_SHOPBAG,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
RAMPAGECOMPLETED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
MAR_A2_STEREO,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	3,	2
MAR_A2TV,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	9,	10
GD_BEERTRAY,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CIGAR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CIGARBOX,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_RUBBISH3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_RUBBISH2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_RUBBISH1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_SNACKTRAY,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
DR_VALVE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_BARSTOOL,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_BED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_BIGBED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_CHAIR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	0,	0
EBPROP_CLOTHESRAIL,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_COMFYCHAIR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_COPIER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_CRATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_DRUGTABLEA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_DRUGTABLEB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_FLOORLAMP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_GBLASTER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_OFFICEDESKA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	5
EBPROP_PLANTPOT,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_SACK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_SPEAKER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_TABLEROUND,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_TABLESQUARE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EBPROP_TABLEWIDE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
EB_FORSALE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_CONS_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
JM_BKS_PEDGTE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BIKERAMPNARROW,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EBPROP_DELICOUNTER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
EBPROP_FREEZERFLOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
EBPROP_FREEZER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	9,	10
EB_PROT_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
NDC_MONEYPILE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_NODAMAGEDESK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DEBRISA,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NDC_DEBRISB,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NDC_DEBRISC,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
PM_PIERGATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_GARDOORWSLUT,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_BRKS_GATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
SJL_LEARJET,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SJL_LEARJET_NEAR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_3_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_2_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_1_C,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
ISD1_BIKE01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD1_BIKE02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD1_BIKE03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD1_CAR01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD1_CAR02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD1_CAR03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_SKYDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
MARTY_CUT_DOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
GD_HOTELSOFA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
GD_HOTELSOFABIT,	40.0,	40.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NDC_PHILSTICK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_BIKE01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_BIKE02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_BIKE03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_CAR02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_CAR01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ISD2_CAR03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
UNLOCKABLEICON,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EBPROP_CASHREG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
GD_PHONEHANDLE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ME_MAINLIGHTRIG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
STAGELITE_LIGHT1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
STAGELITE_LIGHT2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
STAGELITE_LIGHT3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
STAGELITE_LIGHT4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
STAGELITE_LIGHT5,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_BKS_BARRIER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PS_PHILHEADMIC,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_SPRAYCANS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EBPROP_FILECAB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	3,	2
NDC_RADIOPHONE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_DRUG_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_DRUG_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_LOAN_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROS_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_PROT_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_ROB_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_1_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_1_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_2_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_2_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_3_A,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
EB_SMUG_3_B,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
* ;end of file
